Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-06-15),Price Override,Watchlist,Date Added,Notes
Main,Pokemon,25th Anniversary Promo (JP),Venusaur (JP),002/025,Common,Holofoil,PSA 10.0 GEM - MT,Near Mint,0,1,171.49,0,false,2026-05-22,
Main,Pokemon,Ascended Heroes,Ascended Heroes Booster Bundle,,,Normal,Ungraded,Near Mint,0,1,102.47,0,false,2026-05-22,
Main,Pokemon,Ascended Heroes,Ascended Heroes Mega Feraligatr ex Box,,,Normal,Ungraded,Near Mint,0,1,53.42,0,false,2026-06-14,
Main,Pokemon,Ascended Heroes,Ascended Heroes Pokemon Center Elite Trainer Box (Exclusive),,,Normal,Ungraded,Near Mint,0,2,490.06,0,false,2026-02-21,
Main,Pokemon,Base Set (Unlimited),Nidoking,11,Holo Rare,Holofoil,PSA 8.0 NM - MT,Near Mint,0,1,125.72,0,false,2026-05-22,
Main,Pokemon,Battle Academy 2024,Pokemon TCG: Battle Academy 2024,,,Normal,Ungraded,Near Mint,20.0000,1,53.1,0,false,2025-06-26,
Main,Pokemon,Battle Partners,Battle Partner Booster Pack,,,Normal,Ungraded,Near Mint,0,2,3.09,0,false,2025-08-27,
Main,Pokemon,Battle Styles,V Strikers Tin [Empoleon V],,,Normal,Ungraded,Near Mint,45.0000,1,83.9,0,false,2025-08-13,
Main,Pokemon,Black Bolt,Black Bolt Binder Collection,,,Normal,Ungraded,Near Mint,35.0000,5,69.17,0,false,2025-07-18,
Main,Pokemon,Black Bolt,Black Bolt Booster Bundle,,,Normal,Ungraded,Near Mint,40.0000,4,79.8,0,false,2025-08-22,
Main,Pokemon,Black Bolt,Black Bolt Elite Trainer Box,,,Normal,Ungraded,Near Mint,37.5000,8,148.56,0,false,2025-07-18,
Main,Pokemon,Black Bolt,Sandile,135/086,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,18.87,0,false,2025-07-21,
Main,Pokemon,Black Bolt,Unova Mini Tin [Chandelure & Zorua],,,Normal,Ungraded,Near Mint,10.0000,1,24.71,0,false,2025-07-23,
Main,Pokemon,Black Bolt,Unova Mini Tin [Elektross & Galvantula],,,Normal,Ungraded,Near Mint,10.0000,1,20.27,0,false,2025-07-23,
Main,Pokemon,Black Bolt,Unova Mini Tin [Lilligant & Whimsicot],,,Normal,Ungraded,Near Mint,10.0000,1,22.49,0,false,2025-07-23,
Main,Pokemon,Black Bolt,Unova Poster Collection,,,Normal,Ungraded,Near Mint,22.0000,5,44.11,0,false,2025-07-23,
Main,Pokemon,Black Bolt,Unova Victini Illustration Collection,,,Normal,Ungraded,Near Mint,24.0000,3,68.41,0,false,2025-08-01,
Main,Pokemon,Brilliant Stars,Brilliant Stars Elite Trainer Box,,,Normal,Ungraded,Near Mint,80.0000,1,164.19,0,false,2025-07-23,
Main,Pokemon,Brilliant Stars Trainer Gallery,Houndoom,TG10/TG30,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,3.99,0,false,2025-06-26,
Main,Pokemon,Chaos Rising,Chaos Rising Booster Box,,,Normal,Ungraded,Near Mint,0,1,240.17,0,false,2026-05-22,
Main,Pokemon,Cosmic Eclipse,Blastoise & Piplup GX,38/236,Ultra Rare,Holofoil,BGS 9.0 Mint,Near Mint,0,1,117.4,0,false,2026-05-24,
Main,Pokemon,Cosmic Eclipse,Piplup (Secret),239/236,Secret Rare,Holofoil,Ungraded,Near Mint,0,1,79.01,0,false,2026-05-22,
Main,Pokemon,Crown Zenith,Crown Zenith Elite Trainer Box,,,Normal,Ungraded,Near Mint,0,1,344.27,0,false,2026-03-17,
Main,Pokemon,Crown Zenith,Friends in Sinnoh (Full Art),149/159,Ultra Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0,1,70.56,0,false,2026-06-14,
Main,Pokemon,Crown Zenith,Morpeko VPlaymat Premium Collection,,,Normal,Ungraded,Near Mint,60.0000,1,141.48,0,false,2025-08-20,
Main,Pokemon,Crown Zenith: Galarian Gallery,Arceus VSTAR (Secret),GG70/GG70,Secret Rare,Holofoil,Ungraded,Near Mint,0,1,247.1,0,false,2026-02-04,
Main,Pokemon,Darkness Ablaze,Darkness Ablaze Sleeved Booster Pack,,,Normal,Ungraded,Near Mint,7.5000,9,10.7,0,false,2025-08-29,
Main,Pokemon,Destined Rivals,Arboliva ex,207/182,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,3.07,0,false,2025-06-28,
Main,Pokemon,Destined Rivals,Crustle,186/182,Illustration Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0,1,77.54,0,false,2025-09-04,
Main,Pokemon,Destined Rivals,Cynthia's Garchomp ex,215/182,Ultra Rare,Holofoil,Ungraded,Near Mint,0,2,5.26,0,false,2025-06-26,
Main,Pokemon,Destined Rivals,Destined Rivals Booster Box,,,Normal,Ungraded,Near Mint,230.0000,1,595.94,0,false,2025-06-26,
Main,Pokemon,Destined Rivals,Destined Rivals Booster Bundle,,,Normal,Ungraded,Near Mint,30.0000,13,81.1,0,false,2025-06-26,
Main,Pokemon,Destined Rivals,Destined Rivals Booster Pack,,,Normal,Ungraded,Near Mint,3.6364,11,10.2,0,false,2025-07-13,
